lemma,type,comment,tag,form,ipa,py_ipa_original,py_ipa_tweak
утле́гар,іменник чоловічого роду,рангоутне дерево на вітрильному судні,множина орудний,утле́гарями,ʊˈtlɛɦɐrʲɐme,ʊˈtlɛɦɐrʲɐme,uˈtlɛɦɐrʲɐme
віктро́н,іменник чоловічого роду,полістирол,однина орудний,віктро́ном,ʋʲiˈktrɔnɔm,ʋʲiˈktrɔnɔm,ʋʲiˈktronɔm
аніоні́т,іменник чоловічого роду,представник класу мінералів,однина називний,аніоні́т,ɐnʲioˈnʲit,ɐnʲioˈnʲit,ɐnʲioˈnʲit
бро́день,іменник чоловічого роду,мисливський чобіт,однина кличний,бро́дню,ˈbrɔdʲnʲʊ,ˈbrɔdʲnʲʊ,ˈbrodʲnʲʊ
всели́ти,дієслово доконаного виду,,минулий час однина чол.р.,всели́в,ʍseˈlɪu̯,ʍseˈlɪu̯,ʍseˈlɪu̯
зверзти́,дієслово доконаного виду,,минулий час однина сер.р.,зверзло́,zʋerˈzlɔ,zʋerˈzlɔ,zʋerˈzlo
уви́тися,дієслово доконаного виду,,минулий час однина жін.р.,увила́ся,ʊu̯eˈlɑsʲɐ,ʊu̯eˈlɑsʲɐ,uu̯eˈlɑsʲɐ
ужи́тися,дієслово доконаного виду,,минулий час однина сер.р.,ужило́сь,ʊʒeˈlɔsʲ,ʊʒeˈlɔsʲ,uʒeˈlosʲ
уми́тися,дієслово доконаного виду,,минулий час однина жін.р.,уми́лась,ʊˈmɪlɐsʲ,ʊˈmɪlɐsʲ,uˈmɪlɐsʲ
ура́дити,дієслово доконаного виду,,минулий час однина сер.р.,ура́дило,ʊˈrɑdelɔ,ʊˈrɑdelɔ,uˈrɑdelɔ
шамну́ти,дієслово доконаного виду,,минулий час однина сер.р.,шамну́ло,ʃɐˈmnulɔ,ʃɐˈmnulɔ,ʃɐˈmnulɔ
ви́лаяти,дієслово доконаного виду,,минулий час множина жін.р.,ви́лаяли,ˈʋɪlɐjɐle,ˈʋɪlɐjɐle,ˈʋɪlɐjɐle
вліпи́ти,дієслово доконаного виду,,минулий час множина жін.р.,вліпи́ли,wlʲiˈpɪle,wlʲiˈpɪle,wlʲiˈpɪle
завезти́,дієслово доконаного виду,,минулий час множина чол.р.,завезли́,zɐu̯eˈzlɪ,zɐu̯eˈzlɪ,zɐu̯eˈzlɪ
здобу́ти,дієслово доконаного виду,,минулий час множина жін.р.,здобули́,zdɔbʊˈlɪ,zdɔbʊˈlɪ,zdɔbʊˈlɪ
очужі́ти,дієслово доконаного виду,,минулий час множина жін.р.,очужі́ли,ɔt͡ʃʊˈʒʲile,ɔt͡ʃʊˈʒʲile,ɔt͡ʃʊˈʒʲile
ски́нути,дієслово доконаного виду,,минулий час множина чол.р.,ски́нули,ˈskɪnʊle,ˈskɪnʊle,ˈskɪnʊle
вки́нути,дієслово доконаного виду,,пасивний дієприкметник,вки́нений,ˈʍkɪnenei̯,ˈʍkɪnenei̯,ˈʍkɪnenei̯
осла́бти,дієслово доконаного виду,,активний дієприкметник,осла́блий,ɔˈslɑblei̯,ɔˈslɑblei̯,ɔˈslɑblei̯
скара́ти,дієслово доконаного виду,,пасивний дієприкметник,ска́раний,ˈskɑrɐnei̯,ˈskɑrɐnei̯,ˈskɑrɐnei̯
укоси́ти,дієслово доконаного виду,,пасивний дієприкметник,уко́шений,ʊˈkɔʃenei̯,ʊˈkɔʃenei̯,uˈkoʃenei̯
зіпе́рти,дієслово доконаного виду,,майбутній час однина 2 особа,зіпре́ш,zʲiˈprɛʃ,zʲiˈprɛʃ,zʲiˈprɛʃ
огу́дити,дієслово доконаного виду,,майбутній час однина 2 особа,огу́диш,oˈɦudeʃ,oˈɦudeʃ,oˈɦudeʃ
сказа́ти,дієслово доконаного виду,,майбутній час однина 2 особа,ска́жеш,ˈskɑʒeʃ,ˈskɑʒeʃ,ˈskɑʒeʃ
вмота́ти,дієслово доконаного виду,,майбутній час однина 2 особа,вмота́єш,wmɔˈtɑjeʃ,wmɔˈtɑjeʃ,wmɔˈtɑjeʃ
опови́ти,дієслово доконаного виду,,майбутній час однина 3 особа,опов'є́,ɔpɔu̯ˈjɛ,ɔpɔu̯ˈjɛ,ɔpɔu̯ˈjɛ
вску́бти,дієслово доконаного виду,,майбутній час однина 3 особа,вскубе́,ʍskʊˈbɛ,ʍskʊˈbɛ,ʍskʊˈbɛ
зма́лити,дієслово доконаного виду,,майбутній час однина 3 особа,зма́лить,ˈzmɑletʲ,ˈzmɑletʲ,ˈzmɑletʲ
появи́ти,дієслово доконаного виду,,майбутній час однина 3 особа,поя́вить,pɔˈjɑu̯etʲ,pɔˈjɑu̯etʲ,pɔˈjɑu̯etʲ
скоти́ти,дієслово доконаного виду,,майбутній час однина 3 особа,ско́тить,ˈskɔtetʲ,ˈskɔtetʲ,ˈskotetʲ
осво́їти,дієслово доконаного виду,,майбутній час множина 1 особа,осво́їм,ɔˈswɔjim,ɔˈswɔjim,ɔˈswojim
ту́кнути,дієслово доконаного виду,,майбутній час множина 1 особа,ту́кнем,ˈtuknem,ˈtuknem,ˈtuknem
ди́бнути,дієслово доконаного виду,,майбутній час множина 1 особа,ди́бнемо,ˈdɪbnemɔ,ˈdɪbnemɔ,ˈdɪbnemɔ
зціди́ти,дієслово доконаного виду,,майбутній час множина 1 особа,зці́димо,ˈzʲt͡sʲidemɔ,ˈzʲt͡sʲidemɔ,ˈzʲt͡sʲidemɔ
стеря́ти,дієслово доконаного виду,,майбутній час множина 1 особа,стеря́ємо,steˈrʲɑjemɔ,steˈrʲɑjemɔ,steˈrʲɑjemɔ
оглу́хти,дієслово доконаного виду,,майбутній час множина 1 особа,оглу́хнемо,oˈɦluxnemɔ,oˈɦluxnemɔ,oˈɦluxnemɔ
мацну́ти,дієслово доконаного виду,,майбутній час множина 2 особа,мацнете́,mɐt͡sneˈtɛ,mɐt͡sneˈtɛ,mɐt͡sneˈtɛ
струї́ти,дієслово доконаного виду,,майбутній час множина 2 особа,стру́їте,ˈstrujite,ˈstrujite,ˈstrujite
усхну́ти,дієслово доконаного виду,,майбутній час множина 2 особа,усхнете́,ʊsxneˈtɛ,ʊsxneˈtɛ,usxneˈtɛ
утя́мити,дієслово доконаного виду,,майбутній час множина 2 особа,утя́мите,ʊˈtʲɑmete,ʊˈtʲɑmete,uˈtʲɑmete
зогни́ти,дієслово доконаного виду,,майбутній час множина 2 особа,зогниєте́,zɔɦnejeˈtɛ,zɔɦnejeˈtɛ,zɔɦnejeˈtɛ
узя́тися,дієслово доконаного виду,,майбутній час множина 2 особа,ві́зьметесь,ˈʋʲizʲmetesʲ,ˈʋʲizʲmetesʲ,ˈʋʲizʲmetesʲ
но́кнути,дієслово доконаного виду,,майбутній час множина 3 особа,но́кнуть,ˈnɔknʊtʲ,ˈnɔknʊtʲ,ˈnoknʊtʲ
ревну́ти,дієслово доконаного виду,,майбутній час множина 3 особа,ревну́ть,reu̯ˈnutʲ,reu̯ˈnutʲ,reu̯ˈnutʲ
вчепи́ти,дієслово доконаного виду,,наказовий спосіб множина 1 особа,вчепі́м,ʍt͡ʃeˈpʲim,ʍt͡ʃeˈpʲim,ʍt͡ʃeˈpʲim
оточи́ти,дієслово доконаного виду,,наказовий спосіб множина 1 особа,оточі́м,ɔtoˈt͡ʃʲim,ɔtoˈt͡ʃʲim,ɔtoˈt͡ʃʲim
звози́ти,дієслово доконаного виду,,наказовий спосіб множина 1 особа,звозі́мо,zwoˈzʲimɔ,zwoˈzʲimɔ,zwoˈzʲimɔ
втя́мити,дієслово доконаного виду,,наказовий спосіб множина 2 особа,втя́мте,ˈʍtʲɑmte,ˈʍtʲɑmte,ˈʍtʲɑmte
влюби́ти,дієслово доконаного виду,,наказовий спосіб множина 2 особа,влюбі́ть,wlʲʊˈbʲitʲ,wlʲʊˈbʲitʲ,wlʲʊˈbʲitʲ
злучи́ти,дієслово доконаного виду,,наказовий спосіб множина 2 особа,злучі́ть,zlʊˈt͡ʃʲitʲ,zlʊˈt͡ʃʲitʲ,zlʊˈt͡ʃʲitʲ
захті́ти,дієслово доконаного виду,,наказовий спосіб множина 2 особа,захоті́ть,zɐxoˈtʲitʲ,zɐxoˈtʲitʲ,zɐxoˈtʲitʲ
ви́сіяти,дієслово доконаного виду,,Інфінітив,ви́сіяти,ˈʋɪsʲijɐte,ˈʋɪsʲijɐte,ˈʋɪsʲijɐte
відми́ти,дієслово доконаного виду,,Інфінітив,відми́ти,ʋʲiˈdmɪte,ʋʲiˈdmɪte,ʋʲiˈdmɪte
гу́хнути,дієслово доконаного виду,,Інфінітив,гу́хнути,ˈɦuxnʊte,ˈɦuxnʊte,ˈɦuxnʊte
сопну́ти,дієслово доконаного виду,,Інфінітив,сопну́ти,soˈpnute,soˈpnute,soˈpnute
упливти́,дієслово доконаного виду,,Інфінітив,упливти́,ʊpleu̯ˈtɪ,ʊpleu̯ˈtɪ,upleu̯ˈtɪ
цо́пнути,дієслово доконаного виду,,Інфінітив,цо́пнути,ˈt͡sɔpnʊte,ˈt͡sɔpnʊte,ˈt͡sopnʊte
зголи́ти,дієслово доконаного виду,,безособова форма,зго́лено,ˈzɦɔlenɔ,ˈzɦɔlenɔ,ˈzɦolenɔ
осла́бти,дієслово доконаного виду,,дієприслівник,осла́бши,ɔˈslɑbʃe,ɔˈslɑbʃe,ɔˈslɑbʃe
упа́рити,дієслово доконаного виду,,дієприслівник,упа́ривши,ʊˈpɑreu̯ʃe,ʊˈpɑreu̯ʃe,uˈpɑreu̯ʃe
вкоти́ти,дієслово доконаного виду,робити поверхню гладкою,безособова форма,вко́чено,ˈʍkɔt͡ʃenɔ,ˈʍkɔt͡ʃenɔ,ˈʍkot͡ʃenɔ
розча́ти,дієслово доконаного виду,почати,наказовий спосіб множина 1 особа,розічні́мо,rɔzʲiˈt͡ʃnʲimɔ,rɔzʲiˈt͡ʃnʲimɔ,rɔzʲiˈt͡ʃnʲimɔ
нарва́ти,дієслово доконаного виду,зібрати якусь кількість чогось,Інфінітив,нарва́ти,nɐrˈʋɑte,nɐrˈʋɑte,nɐrˈʋɑte
зниза́ти,дієслово доконаного виду,повести плечима,Інфінітив,зниза́ти,zneˈzɑte,zneˈzɑte,zneˈzɑte
уроби́ти,дієслово доконаного виду,виконати певну роботу,минулий час множина жін.р.,уроби́ли,ʊrɔˈbɪle,ʊrɔˈbɪle,urɔˈbɪle
уроби́ти,дієслово доконаного виду,виконати певну роботу,майбутній час однина 2 особа,уро́биш,ʊˈrɔbeʃ,ʊˈrɔbeʃ,uˈrobeʃ
ули́тися,дієслово доконаного виду,облитися сльозами,майбутній час однина 1 особа,уллю́ся,ʊˈlʲːusʲɐ,ʊˈlʲːusʲɐ,uˈlʲːusʲɐ
вма́зати,дієслово доконаного виду,мазанням закріпити,минулий час однина жін.р.,вма́зала,ˈwmɑzɐlɐ,ˈwmɑzɐlɐ,ˈwmɑzɐlɐ
тру́нути,дієслово доконаного виду,торкнути,майбутній час однина 2 особа,тру́неш,ˈtruneʃ,ˈtruneʃ,ˈtruneʃ
зда́тися,дієслово доконаного виду,уявитися,майбутній час однина 3 особа,зда́сться,ˈzdɑsʲt͡sʲ(ː)ɐ,ˈzdɑsʲt͡sʲ(ː)ɐ,ˈzdɑsʲt͡sʲ(ː)ɐ
укоти́ти,дієслово доконаного виду,просунути в середину,майбутній час однина 2 особа,уко́тиш,ʊˈkɔteʃ,ʊˈkɔteʃ,uˈkoteʃ
тра́пити,дієслово доконаного виду,потрапити,минулий час однина жін.р.,тра́пила,ˈtrɑpelɐ,ˈtrɑpelɐ,ˈtrɑpelɐ
укла́сти,дієслово доконаного виду,спакувати,минулий час множина жін.р.,укла́ли,ʊˈklɑle,ʊˈklɑle,uˈklɑle
позбу́ти,дієслово доконаного виду,позбутися,дієприслівник,позбу́вши,poˈzbuu̯ʃe,poˈzbuu̯ʃe,poˈzbuu̯ʃe
опоро́ти,дієслово доконаного виду,розпороти; сильно вдарити,минулий час однина сер.р.,опоро́ло,ɔpɔˈrɔlɔ,ɔpɔˈrɔlɔ,ɔpɔˈrolɔ
піджи́ти,дієслово доконаного виду,піджитися; збільшитися,наказовий спосіб множина 1 особа,підживі́м,pʲid͡ʒeˈu̯ʲim,pʲid͡ʒeˈu̯ʲim,pʲid͡ʒeˈu̯ʲim
засса́ти,дієслово доконаного виду,засмоктати,минулий час множина чол.р.,засса́ли,zɐˈsːɑle,zɐˈsːɑle,zɐˈsːɑle
пря́тати,дієслово недоконаного виду,"прибирати, чепурити",теперішній час однина 2 особа,пря́таєш,ˈprʲɑtɐjeʃ,ˈprʲɑtɐjeʃ,ˈprʲɑtɐjeʃ
впада́ти,дієслово недоконаного виду,"вливатися; вбігати, проникати, потрапляти куди-небудь; набувати певного стану",дієприслівник,впада́вши,ʍpɐˈdɑu̯ʃe,ʍpɐˈdɑu̯ʃe,ʍpɐˈdɑu̯ʃe
фу́шкати,дієслово недоконаного виду,"вириватися, вилітати",теперішній час множина 1 особа,фу́шкаємо,ˈfuʃkɐjemɔ,ˈfuʃkɐjemɔ,ˈfuʃkɐjemɔ
утика́ти,дієслово недоконаного виду,"прикрашати, застромляючи",теперішній час множина 1 особа,утика́єм,ʊteˈkɑjem,ʊteˈkɑjem,uteˈkɑjem
гра́бати,дієслово недоконаного виду,,минулий час однина чол. р.,гра́бав,ˈɦrɑbɐu̯,ˈɦrɑbɐu̯,ˈɦrɑbɐu̯
змина́ти,дієслово недоконаного виду,,минулий час однина чол. р.,змина́в,zmeˈnɑu̯,zmeˈnɑu̯,zmeˈnɑu̯
шпига́ти,дієслово недоконаного виду,,минулий час однина чол. р.,шпига́в,ʃpeˈɦɑu̯,ʃpeˈɦɑu̯,ʃpeˈɦɑu̯
звіва́ти,дієслово недоконаного виду,,минулий час однина сер. р.,звіва́ло,zʲʋʲiˈu̯ɑlɔ,zʲʋʲiˈu̯ɑlɔ,zʲʋʲiˈu̯ɑlɔ
крича́ти,дієслово недоконаного виду,,минулий час однина жін. р.,крича́ла,kreˈt͡ʃɑlɐ,kreˈt͡ʃɑlɐ,kreˈt͡ʃɑlɐ
пе́ртися,дієслово недоконаного виду,,минулий час однина сер. р.,пе́рлося,ˈpɛrlɔsʲɐ,ˈpɛrlɔsʲɐ,ˈpɛrlɔsʲɐ
рідни́ти,дієслово недоконаного виду,,минулий час однина сер. р.,рідни́ло,rʲiˈdnɪlɔ,rʲiˈdnɪlɔ,rʲiˈdnɪlɔ
фа́брити,дієслово недоконаного виду,,минулий час однина жін. р.,фа́брила,ˈfɑbrelɐ,ˈfɑbrelɐ,ˈfɑbrelɐ
ця́пкати,дієслово недоконаного виду,,минулий час однина сер. р.,ця́пкало,ˈt͡sʲɑpkɐlɔ,ˈt͡sʲɑpkɐlɔ,ˈt͡sʲɑpkɐlɔ
юши́тися,дієслово недоконаного виду,,минулий час однина сер. р.,юши́лось,jʊˈʃɪlɔsʲ,jʊˈʃɪlɔsʲ,jʊˈʃɪlɔsʲ
вбача́ти,дієслово недоконаного виду,,минулий час множина чол. р.,вбача́ли,wbɐˈt͡ʃɑle,wbɐˈt͡ʃɑle,wbɐˈt͡ʃɑle
глита́ти,дієслово недоконаного виду,,минулий час множина чол. р.,глита́ли,ɦleˈtɑle,ɦleˈtɑle,ɦleˈtɑle
здира́ти,дієслово недоконаного виду,,минулий час множина чол. р.,здира́ли,zdeˈrɑle,zdeˈrɑle,zdeˈrɑle
зника́ти,дієслово недоконаного виду,,минулий час множина жін. р.,зника́ли,zneˈkɑle,zneˈkɑle,zneˈkɑle
мудрі́ти,дієслово недоконаного виду,,минулий час множина жін. р.,мудрі́ли,mʊˈdʲrʲile,mʊˈdʲrʲile,mʊˈdʲrʲile
неха́яти,дієслово недоконаного виду,,минулий час множина жін. р.,неха́яли,neˈxɑjɐle,neˈxɑjɐle,neˈxɑjɐle
пе́ртися,дієслово недоконаного виду,,минулий час множина чол. р.,пе́рлися,ˈpɛrlesʲɐ,ˈpɛrlesʲɐ,ˈpɛrlesʲɐ
труби́ти,дієслово недоконаного виду,,минулий час множина сер. р.,труби́ли,trʊˈbɪle,trʊˈbɪle,trʊˈbɪle
хрипі́ти,дієслово недоконаного виду,,минулий час множина чол. р.,хрипі́ли,xreˈpʲile,xreˈpʲile,xreˈpʲile
хрю́кати,дієслово недоконаного виду,,минулий час множина сер. р.,хрю́кали,ˈxrʲukɐle,ˈxrʲukɐle,ˈxrʲukɐle
обира́ти,дієслово недоконаного виду,,пасивний дієприкметник,оби́раний,ɔˈbɪrɐnei̯,ɔˈbɪrɐnei̯,ɔˈbɪrɐnei̯
чу́пкати,дієслово недоконаного виду,,майбутній час однина 1 особа,чу́пкатиму,ˈt͡ʃupkɐtemʊ,ˈt͡ʃupkɐtemʊ,ˈt͡ʃupkɐtemʊ
ки́снути,дієслово недоконаного виду,,майбутній час однина 2 особа,ки́снутимеш,ˈkɪsnʊtemeʃ,ˈkɪsnʊtemeʃ,ˈkɪsnʊtemeʃ
пекти́ся,дієслово недоконаного виду,,майбутній час однина 2 особа,пекти́мешся,peˈktɪmesʲːɐ,peˈktɪmesʲːɐ,peˈktɪmesʲːɐ
ти́ркати,дієслово недоконаного виду,,майбутній час однина 2 особа,ти́ркатимеш,ˈtɪrkɐtemeʃ,ˈtɪrkɐtemeʃ,ˈtɪrkɐtemeʃ
ворси́ти,дієслово недоконаного виду,,майбутній час однина 3 особа,ворси́тиме,wɔrˈsɪteme,wɔrˈsɪteme,wɔrˈsɪteme
рихли́ти,дієслово недоконаного виду,,майбутній час однина 3 особа,рихли́тиме,reˈxlɪteme,reˈxlɪteme,reˈxlɪteme
цві́гати,дієслово недоконаного виду,,майбутній час однина 3 особа,цві́гатиме,ˈt͡sʲʋʲiɦɐteme,ˈt͡sʲʋʲiɦɐteme,ˈt͡sʲʋʲiɦɐteme
везти́ся,дієслово недоконаного виду,,майбутній час однина 3 особа,везти́меться,ʋeˈztɪmet͡sʲːɐ,ʋeˈztɪmet͡sʲːɐ,ʋeˈztɪmet͡sʲːɐ
змика́ти,дієслово недоконаного виду,,майбутній час множина 1 особа,змика́тимем,zmeˈkɑtemem,zmeˈkɑtemem,zmeˈkɑtemem
дра́тися,дієслово недоконаного виду,,майбутній час множина 1 особа,дра́тимемось,ˈdrɑtememɔsʲ,ˈdrɑtememɔsʲ,ˈdrɑtememɔsʲ
те́ртися,дієслово недоконаного виду,,майбутній час множина 1 особа,те́ртимемось,ˈtɛrtememɔsʲ,ˈtɛrtememɔsʲ,ˈtɛrtememɔsʲ
штиря́ти,дієслово недоконаного виду,,майбутній час множина 1 особа,штиря́тимемо,ʃteˈrʲɑtememɔ,ʃteˈrʲɑtememɔ,ʃteˈrʲɑtememɔ
очува́ти,дієслово недоконаного виду,,майбутній час множина 2 особа,очува́тимете,ɔt͡ʃʊˈu̯ɑtemete,ɔt͡ʃʊˈu̯ɑtemete,ɔt͡ʃʊˈu̯ɑtemete
роджа́ти,дієслово недоконаного виду,,майбутній час множина 2 особа,роджа́тимете,rɔˈd͡ʒɑtemete,rɔˈd͡ʒɑtemete,rɔˈd͡ʒɑtemete
труча́ти,дієслово недоконаного виду,,майбутній час множина 2 особа,труча́тимете,trʊˈt͡ʃɑtemete,trʊˈt͡ʃɑtemete,trʊˈt͡ʃɑtemete
угоща́ти,дієслово недоконаного виду,,майбутній час множина 2 особа,угоща́тимете,ʊɦɔˈʃt͡ʃɑtemete,ʊɦɔˈʃt͡ʃɑtemete,uɦɔˈʃt͡ʃɑtemete
злина́ти,дієслово недоконаного виду,,майбутній час множина 3 особа,злина́тимуть,zleˈnɑtemʊtʲ,zleˈnɑtemʊtʲ,zleˈnɑtemʊtʲ
ши́ршати,дієслово недоконаного виду,,майбутній час множина 3 особа,ши́ршатимуть,ˈʃɪrʃɐtemʊtʲ,ˈʃɪrʃɐtemʊtʲ,ˈʃɪrʃɐtemʊtʲ
шпу́рити,дієслово недоконаного виду,,майбутній час множина 3 особа,шпу́ритимуть,ˈʃpuretemʊtʲ,ˈʃpuretemʊtʲ,ˈʃpuretemʊtʲ
пши́кати,дієслово недоконаного виду,,наказовий спосіб однина 2 особа,пши́кай,ˈpʃɪkɐi̯,ˈpʃɪkɐi̯,ˈpʃɪkɐi̯
ри́скати,дієслово недоконаного виду,,наказовий спосіб однина 2 особа,ри́скай,ˈrɪskɐi̯,ˈrɪskɐi̯,ˈrɪskɐi̯
зубри́ти,дієслово недоконаного виду,,наказовий спосіб множина 1 особа,зубрі́м,zʊˈbrʲim,zʊˈbrʲim,zʊˈbrʲim
ка́ятися,дієслово недоконаного виду,,наказовий спосіб множина 1 особа,ка́ймося,ˈkɑi̯mɔsʲɐ,ˈkɑi̯mɔsʲɐ,ˈkɑi̯mɔsʲɐ
мости́ти,дієслово недоконаного виду,,наказовий спосіб множина 1 особа,мості́мо,moˈsʲtʲimɔ,moˈsʲtʲimɔ,moˈsʲtʲimɔ
бубни́ти,дієслово недоконаного виду,,наказовий спосіб множина 2 особа,бубні́ть,bʊˈbnʲitʲ,bʊˈbnʲitʲ,bʊˈbnʲitʲ
гримі́ти,дієслово недоконаного виду,,наказовий спосіб множина 2 особа,гримі́ть,ɦreˈmʲitʲ,ɦreˈmʲitʲ,ɦreˈmʲitʲ
ржави́ти,дієслово недоконаного виду,,наказовий спосіб множина 2 особа,ржаві́ть,rʒɐˈu̯ʲitʲ,rʒɐˈu̯ʲitʲ,rʒɐˈu̯ʲitʲ
вбіга́ти,дієслово недоконаного виду,,наказовий спосіб множина 2 особа,вбіга́йте,wbʲiˈɦɑi̯te,wbʲiˈɦɑi̯te,wbʲiˈɦɑi̯te
влеща́ти,дієслово недоконаного виду,,наказовий спосіб множина 2 особа,влеща́йте,wleˈʃt͡ʃɑi̯te,wleˈʃt͡ʃɑi̯te,wleˈʃt͡ʃɑi̯te
тра́хати,дієслово недоконаного виду,,наказовий спосіб множина 2 особа,тра́хайте,ˈtrɑxɐi̯te,ˈtrɑxɐi̯te,ˈtrɑxɐi̯te
вбіля́ти,дієслово недоконаного виду,,Інфінітив,вбіля́ти,wbʲiˈlʲɑte,wbʲiˈlʲɑte,wbʲiˈlʲɑte
звужа́ти,дієслово недоконаного виду,,Інфінітив,звужа́ти,zwʊˈʒɑte,zwʊˈʒɑte,zwʊˈʒɑte
кружи́ти,дієслово недоконаного виду,,Інфінітив,кружи́ти,krʊˈʒɪte,krʊˈʒɪte,krʊˈʒɪte
смоли́ти,дієслово недоконаного виду,,теперішній час однина 1 особа,смолю́,smoˈlʲu,smoˈlʲu,smoˈlʲu
сюрча́ти,дієслово недоконаного виду,,теперішній час однина 1 особа,сюрчу́,sʲʊrˈt͡ʃu,sʲʊrˈt͡ʃu,sʲʊrˈt͡ʃu
обіця́ти,дієслово недоконаного виду,,теперішній час однина 1 особа,обіця́ю,ɔbʲiˈt͡sʲɑjʊ,ɔbʲiˈt͡sʲɑjʊ,ɔbʲiˈt͡sʲɑjʊ
штиря́ти,дієслово недоконаного виду,,теперішній час однина 2 особа,штиря́єш,ʃteˈrʲɑjeʃ,ʃteˈrʲɑjeʃ,ʃteˈrʲɑjeʃ
ли́зкати,дієслово недоконаного виду,,теперішній час однина 3 особа,ли́зкає,ˈlɪzkɐje,ˈlɪzkɐje,ˈlɪzkɐje
гости́ти,дієслово недоконаного виду,,теперішній час множина 1 особа,гостимо́,ɦɔsteˈmɔ,ɦɔsteˈmɔ,ɦɔsteˈmo
знижа́ти,дієслово недоконаного виду,,теперішній час множина 1 особа,знижа́єм,zneˈʒɑjem,zneˈʒɑjem,zneˈʒɑjem
тро́лити,дієслово недоконаного виду,,теперішній час множина 1 особа,тро́лимо,ˈtrɔlemɔ,ˈtrɔlemɔ,ˈtrolemɔ
шва́кати,дієслово недоконаного виду,,теперішній час множина 1 особа,шва́каєм,ˈʃʋɑkɐjem,ˈʃʋɑkɐjem,ˈʃʋɑkɐjem
темни́ти,дієслово недоконаного виду,,теперішній час множина 2 особа,темните́,temneˈtɛ,temneˈtɛ,temneˈtɛ
копти́ти,дієслово недоконаного виду,,теперішній час множина 3 особа,коптя́ть,kɔˈptʲɑtʲ,kɔˈptʲɑtʲ,kɔˈptʲɑtʲ
чу́пкати,дієслово недоконаного виду,,теперішній час множина 3 особа,чу́пкають,ˈt͡ʃupkɐjʊtʲ,ˈt͡ʃupkɐjʊtʲ,ˈt͡ʃupkɐjʊtʲ
става́ти,дієслово недоконаного виду,,дієприслівник,стаючи́,stɐjʊˈt͡ʃɪ,stɐjʊˈt͡ʃɪ,stɐjʊˈt͡ʃɪ
пли́нути,дієслово недоконаного виду,,дієприслівник,пли́нучи,ˈplɪnʊt͡ʃe,ˈplɪnʊt͡ʃe,ˈplɪnʊt͡ʃe
бу́цкати,дієслово недоконаного виду,,дієприслівник,бу́цкавши,ˈbut͡skɐu̯ʃe,ˈbut͡skɐu̯ʃe,ˈbut͡skɐu̯ʃe
ді́ятися,дієслово недоконаного виду,,дієприслівник,ді́явшись,ˈdʲijɐu̯ʃesʲ,ˈdʲijɐu̯ʃesʲ,ˈdʲijɐu̯ʃesʲ
труби́ти,дієслово недоконаного виду,,дієприслівник,тру́блячи,ˈtrublʲɐt͡ʃe,ˈtrublʲɐt͡ʃe,ˈtrublʲɐt͡ʃe
хма́рити,дієслово недоконаного виду,про погоду,майбутній час однина 3 особа,хма́ритиме,ˈxmɑreteme,ˈxmɑreteme,ˈxmɑreteme
влива́ти,дієслово недоконаного виду,лити в середину чогось; додавати,майбутній час однина 1 особа,влива́тиму,wleˈu̯ɑtemʊ,wleˈu̯ɑtemʊ,wleˈu̯ɑtemʊ
міцни́ти,дієслово недоконаного виду,робити міцним; зміцнювати,теперішній час однина 2 особа,міцни́ш,mʲiˈt͡snɪʃ,mʲiˈt͡snɪʃ,mʲiˈt͡snɪʃ
умика́ти,дієслово недоконаного виду,світло,минулий час множина чол. р.,умика́ли,ʊmeˈkɑle,ʊmeˈkɑle,umeˈkɑle
убира́ти,дієслово недоконаного виду,одягати кого-небудь,Інфінітив,убира́ти,ʊbeˈrɑte,ʊbeˈrɑte,ubeˈrɑte
ча́хнути,дієслово недоконаного виду,ставати чахлим,минулий час множина чол. р.,ча́хли,ˈt͡ʃɑxle,ˈt͡ʃɑxle,ˈt͡ʃɑxle
глоти́ти,дієслово недоконаного виду,тіснити,минулий час множина сер. р.,глоти́ли,ɦlɔˈtɪle,ɦlɔˈtɪle,ɦlɔˈtɪle
шамті́ти,дієслово недоконаного виду,шарудіти,минулий час однина жін. р.,шамті́ла,ʃɐˈmtʲilɐ,ʃɐˈmtʲilɐ,ʃɐˈmtʲilɐ
му́рзати,дієслово недоконаного виду,бруднити,минулий час множина жін. р.,му́рзали,ˈmurzɐle,ˈmurzɐle,ˈmurzɐle
обижа́ти,дієслово недоконаного виду,ображати,минулий час множина чол. р.,обижа́ли,ɔbeˈʒɑle,ɔbeˈʒɑle,ɔbeˈʒɑle
краси́ти,дієслово недоконаного виду,фарбувати,майбутній час однина 2 особа,краси́тимеш,krɐˈsɪtemeʃ,krɐˈsɪtemeʃ,krɐˈsɪtemeʃ
вмоча́ти,дієслово недоконаного виду,змочувати,Інфінітив,вмоча́ти,wmɔˈt͡ʃɑte,wmɔˈt͡ʃɑte,wmɔˈt͡ʃɑte
вбива́ти,дієслово недоконаного виду,позбавляти життя,Інфінітив,вбива́ти,wbeˈu̯ɑte,wbeˈu̯ɑte,wbeˈu̯ɑte
трави́ти,дієслово недоконаного виду,засвоювати впроцесі травлення; перетравлювати,майбутній час множина 1 особа,трави́тимемо,trɐˈu̯ɪtememɔ,trɐˈu̯ɪtememɔ,trɐˈu̯ɪtememɔ
